time_ms,bid,ask,bid_vol,ask_vol
1774977003177,46.27145,46.27845,956016770,956016770
1774977003278,46.27275,46.27975,956016770,956016770
1774977004234,46.27285,46.27995,956016770,956016770
1774977004285,46.27265,46.27965,956016770,956016770
1774977004437,46.27125,46.27825,956016770,956016770
1774977005694,46.27075,46.27752,956016770,956016770
1774977005745,46.26925,46.27625,956016770,956016770
1774977005796,46.26865,46.27565,956016770,956016770
1774977008464,46.26915,46.27625,956016770,956016770
1774977008516,46.27175,46.27852,951893602,956016770
1774977008569,46.27155,46.27852,951893602,956016770
1774977008671,46.27125,46.27825,951893602,956016770
1774977008822,46.27155,46.27852,951893602,956016770
1774977008924,46.27135,46.27835,951893602,956016770
1774977009631,46.26985,46.27685,956016770,956016770
1774977009732,46.26955,46.27655,956016770,956016770
1774977009834,46.27005,46.27705,956016770,956016770
1774977010186,46.27055,46.27755,956016770,956016770
1774977010337,46.27145,46.27845,956016770,956016770
1774977010438,46.27315,46.28015,956016770,956016770
1774977010539,46.27125,46.27825,956016770,956016770
1774977010691,46.27095,46.27795,956016770,956016770
1774977010792,46.27035,46.27735,956016770,956016770
1774977010943,46.26985,46.27685,956016770,956016770
1774977011044,46.26955,46.27655,956016770,956016770
1774977011498,46.26885,46.27585,956016770,956016770
1774977012403,46.26935,46.27635,956016770,956016770
1774977012505,46.27005,46.27705,956016770,956016770
1774977012975,46.27025,46.27725,956016770,956016770
1774977013076,46.27065,46.27765,956016770,956016770
1774977014034,46.27375,46.28085,956016770,956016770
1774977014085,46.27355,46.28055,951893602,956016770
1774977014187,46.27065,46.27765,956016770,956016770
1774977014489,46.27095,46.27805,956016770,956016770
1774977014691,46.27055,46.27755,956016770,956016770
1774977014843,46.26995,46.27695,956016770,956016770
1774977015858,46.27025,46.27735,956016770,956016770
1774977015909,46.27115,46.27815,956016770,956016770
1774977016010,46.27135,46.27835,956016770,956016770
1774977018068,46.27165,46.27865,956016770,956016770
1774977018169,46.27145,46.27845,956016770,956016770
1774977018270,46.27165,46.27865,956016770,956016770
